guid,name,groupPrefab,category,condition,conditionModifiers,conditionSource,incompatible,enabled,reviewStatus,reviewTag,usability,weapons,forms,sourceUnit,hasRuleEntry,notes
446999227,Primary Attack,AB_HostileVillager_UnarmedAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Villager,,
-557111974,Primary Attack,AB_Knight_2H_AttackChain_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Knight,,
329043640,Primary Attack,AB_Legion_Assassin_DoubleStrike_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Exsanguinator,,
-915929892,Primary Attack,AB_Legion_Gargoyle_ForwardSwipe_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Beatrice the Tailor,,
-350642638,Primary Attack,AB_Legion_Guardian_AttackChain_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-1526010521,Primary Attack,AB_Legion_Nightmare_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Nightmare,,
523087989,Primary Attack,AB_Legion_Vargulf_SlicingArm_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Slaughterbeast,,
-1659620404,Primary Attack,AB_Monster_FinalMelee_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Adam the Firstborn,,
-413053555,Primary Attack,AB_Pistols_Primary_Attack_Mounted_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
138513891,Primary Attack,AB_SkeletonSoldier_Shared_Melee_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Armoured Skeleton,,
1805214524,Primary Attack,AB_Undead_Assassin_DoubleStrike_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Undead Assassin,,
575048784,Primary Attack,AB_Undead_GhostAssassin_DoubleStrike_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Ghost Assassin,,
-2092537748,Primary Attack,AB_Undead_GhostGuardian_AttackChain_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Ghost Guardian,,
1254118139,Primary Attack,AB_Undead_Guardian_AttackChain_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Undead Guardian,,
1294567037,Primary Attack,AB_Undead_Guardian_MinionAttackChain_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
1456136938,Primary Attack,AB_Undead_Infiltrator_DoubleStrike_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Primal Blood Soul,,
684476797,Primary Attack,AB_Unholy_DeathKnight_MeleeCombo_Group,Other,Summon,Combo,auto,,,Unreviewed,,Combo,,,Unholy Death Knight,,
992015964,Primary Attack,AB_Vampire_BloodKnight_BasicSpearDance_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,General Valencia the Depraved,,
-847327302,Primary Attack,AB_Vampire_Dracula_SliceNDice_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Dracula the Immortal King,,
-1428882023,Primary Attack,AB_Vampire_GreatSword_Primary_Moving_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-208121356,Primary Attack,AB_Vampire_Spear_Primary_Attack_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
1752758196,Primary Attack,AB_Vampire_Whip_Primary_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
1878838878,Primary Attack,AB_Voltage_KickCombo_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Domina the Blade Dancer,,
-1683730497,Primary Attack,AB_Wendigo_IcicleThrow_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Frostmaw the Mountain Terror,,
-174926399,Primary Attack,AB_WerewolfChieftain_MultiBite_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Willfred the Village Elder,,
-905574209,Primary Attack,AB_Winter_Yeti_TrippleAttack_AbilityGroup,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,Terrorclaw the Ogre,,
189403977,Sanguine Coil,AB_Blood_SanguineCoil_AbilityGroup,Blood|Offensive,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-1473399128,Shockwave,AB_Vampire_Dracula_ShockwaveFastSlash_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Dracula the Immortal King,,
364141768,Shockwave,AB_Vampire_Dracula_ShockwaveSlash_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Dracula the Immortal King,,
-1779071085,Spider Queen Spawn Adds,AB_Spider_Queen_SpawnAdds_AbilityGroup,Other,Summon,Combo,auto,,,Unreviewed,,Combo,,,Ungora the Spider Queen,,
-1781725233,Undead Arena Champion Sweep Attacks,AB_Undead_ArenaChampion_SweepAttacks_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-2023636973,Undead Arena Champion Windslash,AB_Undead_ArenaChampion_Windslash_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
852659329,Undead Bishop Of Death Small Explosion,AB_Undead_BishopOfDeath_SmallExplosion_AbilityGroup,,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
1621601748,Undead Infiltrator Knife Throw,AB_Undead_Infiltrator_KnifeThrow_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Primal Blood Soul,,
-818533945,Undead Skeleton Apprentice Minion Projectile,AB_Undead_SkeletonApprentice_Minion_Projectile_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,,,
-20539715,Undead Skeleton Apprentice Projectile,AB_Undead_SkeletonApprentice_Projectile_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Skeleton Mage,,
604882732,Unholy Skeleton Apprentice Projectile,AB_Unholy_SkeletonApprentice_Projectile_AbilityGroup,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Skeleton Mage,,
-655343218,Vampire Pollaxe Primary Attack,AB_Vampire_Pollaxe_Primary_Attack_AbilityGroup,,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,,,
-2013216961,VHunter Jade Revolvers,AB_VHunter_Jade_Revolvers2_Group,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Jade the Vampire Hunter,,
1196517991,VHunter Jade Revolvers,AB_VHunter_Jade_Revolvers3_Group,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Jade the Vampire Hunter,,
688350142,VHunter Jade Revolvers,AB_VHunter_Jade_Revolvers4_Group,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Jade the Vampire Hunter,,
-1783782358,VHunter Jade Revolvers,AB_VHunter_Jade_Revolvers_Group,Other,Aimed,Combo,auto,,,Unreviewed,,Combo,,,Jade the Vampire Hunter,,
280173050,Wolf Boss Dash Attack Double,AB_Wolf_Boss_DashAttack_Double_AbilityGroup,Other,CloseRange,Combo|Channel,auto,,,Unreviewed,,Combo,,,白色头狼,,
-1161539168,Wolf Boss Dash Attack Tripple,AB_Wolf_Boss_DashAttack_Tripple_AbilityGroup,Other,CloseRange,Combo|Channel,auto,,,Unreviewed,,Combo,,,"Alpha, der weiße Wolf",,
-1490887838,Основная атака,AB_Pistols_Primary_Attack_AbilityGroup,Other,Summon,Combo,auto,,,Unreviewed,,Combo,,,,,
346834991,การโจมตีหลัก,AB_Undead_Leader_MeleeStandard_Group,Other,CloseRange,Combo,auto,,,Unreviewed,,Combo,,,ครีก ผู้บัญชาการเหล่าอันเดด,,
377778793,A Thousand Spears,AB_Spear_AThousandSpears_Stab_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,,,
1420346034,Aerial Whip Twirl,AB_Vampire_Whip_Dash_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,,,
1575317901,Aftershock,AB_Chaos_Aftershock_Group,Chaos|Offensive,Aimed,,auto,,,Unreviewed,,Conditional,,,,,
1187623532,Arch Mage Crystal Lance Charged,AB_ArchMage_CrystalLance_Charged_AbilityGroup,Other,Aimed,Channel,auto,,,Unreviewed,,Conditional,,,Mairwyn the Elementalist,,
1217615468,Arch Mage Fire Spinner,AB_ArchMage_FireSpinner_AbilityGroup,Other,Aimed,Channel,auto,,,Unreviewed,,Conditional,,,Mairwyn the Elementalist,,
-1232816408,Arch Mage Lightning Arc,AB_ArchMage_LightningArc_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Mairwyn az Elementalista,,
1365358996,Arch Mage Lightning Curse,AB_ArchMage_LightningCurse_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Mairwyn the Elementalist,,
-751119210,Archer Projectile,AB_Archer_Projectile_Group,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Archer,,
1450902136,Arctic Leap,AB_BatVampire_AirDrop_HARD_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Lord Styx the Night Champion,,
-66831677,Arctic Leap,AB_BatVampire_JumpStrike_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Lord Styx the Night Champion,,
1146467217,Arctic Leap,AB_BatVampire_QuickTeleport_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Lord Styx the Night Champion,,
-597709516,Arctic Leap,AB_BatVampire_SummonMinions_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Lord Styx the Night Champion,,
-1684997624,Arctic Leap,AB_Cursed_MonsterToad_LeapAttack_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Cursed Slime Toad,,
1439273397,Arctic Leap,AB_Cursed_MountainBeast_Enrage_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Gorecrusher the Behemoth,,
-1574537639,Arctic Leap,AB_Cursed_MountainBeast_GhostCall_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Gorecrusher the Behemoth,,
-130931989,Arctic Leap,AB_Cursed_MountainBeast_LeapAttack_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Gorecrusher the Behemoth,,
-430375110,Arctic Leap,AB_Cursed_MountainBeast_SpiritDouble_AbilityGroup,Other,Summon,,auto,,,Unreviewed,,Conditional,,,Gorecrusher the Behemoth,,
1808492070,Arctic Leap,AB_Cursed_ToadKing_FrogSplit_Travel_AbilityGroup,Other,Summon,,auto,,,Unreviewed,,Conditional,,,Albert the Duke of Balaton,,
1790744720,Arctic Leap,AB_Cursed_ToadKing_PoisonLeap_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Albert the Duke of Balaton,,
1966330719,Arctic Leap,AB_Frost_ArcticLeap_AbilityGroup,Frost|Ultimate,Movement,,auto,,,Unreviewed,,Conditional,,,,,
938684260,Arctic Leap,AB_HighLord_LeapStrike_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,General Cassius the Betrayer,,
-604910466,Arctic Leap,AB_HighLord_UnholyWarp_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,General Cassius the Betrayer,,
1741189817,Arctic Leap,AB_Legion_Gargoyle_Relocate_Forward_Travel_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Beatrice the Tailor,,
-2036638378,Arctic Leap,AB_Legion_NightMaiden_EvadeGlide_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Night Maiden,,
-1229087512,Arctic Leap,AB_Legion_Vargulf_MaulSetup_TravelLeft_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Slaughterbeast,,
-225237355,Arctic Leap,AB_Militia_Glassblower_WindDash_Group,Other,CloseRange,Channel,auto,,,Unreviewed,,Conditional,,,Grethel the Glassblower,,
-1843696472,Arctic Leap,AB_Militia_Leader_DodgeRoll_Left_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Octavian the Militia Captain,,
1946568656,Arctic Leap,AB_Militia_Leader_DodgeRoll_Right_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Octavian the Militia Captain,,
-1008562275,Arctic Leap,AB_Militia_Scribe_WhackAScribe_Travel_AbilityGroup,Other,CloseRange,Channel,auto,,,Unreviewed,,Conditional,,,Maja the Dark Savant,,
1492585365,Arctic Leap,AB_Monster_LightningSlam_Land_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Adam the Firstborn,,
1795073911,Arctic Leap,AB_Monster_LightningSlam_LiftOff_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Adam the Firstborn,,
-2054557525,Arctic Leap,AB_Monster_WarpSlam_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Adam the Firstborn,,
294532069,Arctic Leap,AB_RockElemental_Leap_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Rock Elemental,,
-809284772,Arctic Leap,AB_Undead_CursedSmith_Summon_Weapon_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,,,
847476786,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponAll_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
-1889094547,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponAxe_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
546685538,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponMace_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
151173850,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponSlashers_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
1162725480,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponSpear_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
-332863103,Arctic Leap,AB_Undead_CursedSmith_Summon_WeaponSword_AbilityGroup,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Cyril the Cursed Smith,,
948587795,Arctic Leap,AB_Undead_Leader_SpinningDash_Group,Other,CloseRange,Channel,auto,,,Unreviewed,,Conditional,,,Kriig the Undead General,,
1826128809,Arctic Leap,AB_Vampire_BloodKnight_SkeweringLeap_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,General Valencia the Depraved,,
-1759227484,Arctic Leap,AB_Vampire_BloodKnight_SkeweringLeap_Disengage_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,General Valencia the Depraved,,
1128466169,Arctic Leap,AB_Vampire_Dracula_Feed_AbilityGroup,Other,Summon,,auto,,,Unreviewed,,Conditional,,,Dracula the Immortal King,,
-1940289109,Arctic Leap,AB_Vampire_Dracula_QuickTeleport_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Dracula the Immortal King,,
-1589312992,Arctic Leap,AB_Vampire_Dracula_QuickTeleportChase_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Dracula the Immortal King,,
-703291679,Arctic Leap,AB_Vampire_Dracula_QuickTeleportPillar_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Dracula the Immortal King,,
-1031474651,Arctic Leap,AB_Vampire_Dracula_TravelToCenter_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Dracula the Immortal King,,
1205896854,Arctic Leap,AB_Winter_Yeti_AntarcticLeap_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Terrorclaw the Ogre,,
-252663641,Arctic Leap,AB_Winter_Yeti_Enrage_Travel_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Terrorclaw the Ogre,,
320434570,Arctic Leap,AB_Winter_Yeti_GrabIcicle_Roar_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Terrorclaw the Ogre,,
1938535864,Arctic Leap,AB_WormTerror_Dig_Travel_AbilityGroup,Other,Movement,,auto,,,Unreviewed,,Conditional,,,Worm Terror,,
-1781779733,Army of the Dead,AB_Unholy_ArmyOfTheDead_AbilityGroup,Unholy|Ultimate,Summon,,auto,,,Unreviewed,,Conditional,,,,,
797495975,Atak podstawowy,AB_Werewolf_Howl_Group,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Wieśniak,,
-367310449,Ataque Primário,AB_Militia_HoundMaster_Shove_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Homem,,
-1031367685,Attacco primario,AB_Unholy_UnstableArarchnid_Explode_Small_AbilityGroup,Other,Summon,,auto,,,Unreviewed,,Conditional,,,Ragno instabile,,
-1754787506,Attaque principale,AB_ArchMage_FlameSphere_Dash_AbilityGroup,Other,Movement,Channel,auto,,,Unreviewed,,Conditional,,,,,
2015521421,Attaque principale,AB_Cursed_MonsterToad_TongueGrab_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Crapaud visqueux maudit,,
1249925269,Ball Lightning,AB_Storm_BallLightning_AbilityGroup,Storm|Offensive,Aimed,,auto,,,Unreviewed,,Conditional,,,,,
-440373841,Ball Lightning,AB_Storm_BallLightning_SpellMod_Recast_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,,,
-1743551272,Bandit Bomb Throw,AB_Bandit_BombThrow_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Bomber,,
-444905742,Bandit Cluster Bomb Throw,AB_Bandit_ClusterBombThrow_AbilityGroup,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Clive the Firestarter,,
1336193986,Bandit Deadeye Ranged Attack,AB_Bandit_Deadeye_RangedAttack_Group,Other,Aimed,Channel,auto,,,Unreviewed,,Conditional,,,Deadeye,,
643209588,Bandit Fisherman Fish Hook,AB_Bandit_Fisherman_FishHook_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,渔夫芬恩,,
571532506,Bandit Fisherman Serpent Feed,AB_Bandit_Fisherman_SerpentFeed_AbilityGroup,Other,CloseRange,Channel,auto,,,Unreviewed,,Conditional,,,Finn the Fisherman,,
-2010697707,Bandit Foreman Crossbow,AB_Bandit_Foreman_Crossbow_Group,Other,Aimed,Channel,auto,,,Unreviewed,,Conditional,,,Lesser Blood Soul,,
-1100933071,Bandit Foreman Crossbow Blood Rage,AB_Bandit_Foreman_Crossbow_BloodRage_Group,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Lesser Blood Soul,,
-1326540020,Bandit Foreman Rapid Shot,AB_Bandit_Foreman_RapidShot_AbilityGroup,Other,Aimed,,auto,,,Unreviewed,,Conditional,,,Lesser Blood Soul,,
1914101495,Bandit Foreman Reinforcement,AB_Bandit_Foreman_Reinforcement_Group,Other,Summon,Channel,auto,,,Unreviewed,,Conditional,,,Lesser Blood Soul,,
2130985273,Bandit Foreman Throw Net,AB_Bandit_Foreman_ThrowNet_Group,Other,CloseRange,,auto,,,Unreviewed,,Conditional,,,Lesser Blood Soul,,
