guid,name,unit,tier,condition,modifiers,descriptor
690549364,Blackfang Morgana Travel To Position Tail,(no source unit),-,Movement,,Mobility / travel — no target needed
438919203,Blackfang Morgana Travel To Position Tail Emerge,(no source unit),-,Movement,,Mobility / travel — no target needed
1242557903,Blackfang Morgana Traveling Orb Barrage,(no source unit),-,Movement,,Mobility / travel — no target needed
-2140645618,Blackfang Morganas Tail Dive,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1859321594,Blackfang Morganas Tail Stinger,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
29969582,Blackfang Morganas Tail Stinger Single,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
62301155,Blackfang Morganas Tail Tail Slam,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
596395337,Blackfang Peon Carrying Barrel Melee,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1869018808,Blackfang Peon Carrying Barrel Throw Barrel,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
936609695,Blackfang Peon Log Carryer Melee,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
2107551739,Blackfang Peon Melee,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-459395643,Blackfang Peon Mining Melee Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
651647554,Blackfang Peon Wood Chopping Melee Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-637041016,Blackfang Sentinel Counter Attack Kick,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
170206690,Blackfang Sentinel Counter Attack Strike,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-100357751,Blackfang Sentinel Heavy Swing,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-2067963108,Blackfang Sentinel Normal Swing,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1138991224,Blackfang Sentinel Ram,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
481790231,Blackfang Sentinel Shockwave,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
1213228171,Blackfang Striker Charge Attack,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1125833271,Blackfang Striker Defend Ally,(no source unit),-,SelfCast,,Self/ally effect — works on press
-2096054164,Blackfang Striker Fist Block,(no source unit),-,SelfCast,,Self/ally effect — works on press
1105771640,Blackfang Striker Power Punch,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1126476370,Blackfang Striker Smash,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1329409686,Blackfang Valyr Phase Dual Bomber Duel Quake,(no source unit),-,SelfCast,,Self/ally effect — works on press
68363809,Blackfang Valyr Phase Dual Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-9078612,Blackfang Valyr Phase Dual Seismic Jump,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
140047325,Blackfang Valyr Phase Dual Tackle,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-98135680,Blackfang Valyr Phase Single Bomber Quake,(no source unit),-,SelfCast,,Self/ally effect — works on press
-845442935,Blackfang Valyr Phase Single Charge,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1633132226,Blackfang Valyr Phase Single Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1590188261,Blackfang Valyr Phase Single Smack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-405003450,Blackfang Valyr Phase Single Vault Attack,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1574580061,Blackfang Valyr Walk To Pos,(no source unit),-,SelfCast,,Self/ally effect — works on press
1797731340,Blackfang Venomblade Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
323806214,Blackfang Venomblade Melee,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1944086996,Blackfang Venomblade Sprint,(no source unit),-,Movement,,Mobility / travel — no target needed
940071564,Blackfang Venomblade Venomstrike,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
381862924,Blackfang Viper Javelin Rain,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-317345251,Blackfang Viper Javelin Throw,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
1142040823,Blackfang Viper Step Throw,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1074626555,Blackfang Wood Carver Melee,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1869894099,Blood Buff Corrupted Angel Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-2064327511,Blood Buff Corrupted Harpy Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1380116221,Blood Carrion Swarm,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
2067760264,Blood Fountain,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1401133170,Blood Fountain,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
651613264,Blood Rage,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1284243288,Blood Storm,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
481411985,Bone Explosion,(no source unit),-,Summon,,Summons units/allies — no aim needed
1224470698,Burrow,(no source unit),-,SelfCast,,Self/ally effect — works on press
-13231823,Camouflage,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
2037106453,Cancel Raging Tempest,(no source unit),-,Movement,,Mobility / travel — no target needed
-1109386231,Carver Boss Whirlwind,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1016145613,Chaos Barrier,(no source unit),-,SelfCast,,Self/ally effect — works on press
2070140125,Chaos Barrier,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
2012523607,Chaos Rain Of Chaos,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
116066962,Church Of Light Cardinal Aide Block,(no source unit),-,SelfCast,,Self/ally effect — works on press
100549683,Church Of Light Cleric Block,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1637210619,Church Of Light Enchanted Cross Beam Hard,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
896963123,Church Of Light Overseer Ice Rink,(no source unit),-,Summon,,Summons units/allies — no aim needed
-1684687653,Church Of Light Slave Master AoEBuff,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1000260252,Cold Snap,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1095356108,Corrupted Crow Fly End,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1698500590,Corrupted Crow Fly Start,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
61265236,Corrupted Crow Fly Start,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
304685414,Corrupted Crow Idle Fly Start,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1204819086,Corrupted Skull,(no source unit),-,Summon,,Summons units/allies — no aim needed
-1720952746,Corrupted Wolf Slavering Bite,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1262003451,Crushing Blow,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
295045820,Crystal Lance,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-356990326,Cyclone,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1961570821,Death Knight,(no source unit),-,Summon,,Summons units/allies — no aim needed
-2095151729,Death from Above,(no source unit),-,Movement,,Mobility / travel — no target needed
-1563062700,Debug Nuke All,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
162388614,Degallop,(no source unit),-,Movement,,Mobility / travel — no target needed
1952703098,Discharge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1816495876,Discharge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
172828642,Dismount,(no source unit),-,Movement,,Mobility / travel — no target needed
472850370,Dismount,(no source unit),-,Movement,,Mobility / travel — no target needed
-1552626046,Dracula Spell Stone Orbiting Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1130363778,Earthshatter,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
-1545438316,Elusive Strike,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
488481150,Emery Elemental Leap,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1903010945,Emery Elemental Melee Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1262525269,Emery Elemental Rollout,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
107764414,Emery Golem Ground Slam,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-705534828,Emery Golem Melee Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1882115765,Emery Golem Rock Slam,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-401259144,Enchanted Cross Light Wave,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
-313732628,Entangling Whip,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1870875931,Eye of the Storm,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-2068632541,Feed,(no source unit),-,SelfCast,,Self/ally effect — works on press
1548379114,Feed,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1393329717,Feed,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1365570044,Feed,(no source unit),-,SelfCast,,Self/ally effect — works on press
-578672354,Feed,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1278121774,Feed,(no source unit),-,SelfCast,,Self/ally effect — works on press
117247654,Feed,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1586616867,Feed,(no source unit),-,SelfCast,,Self/ally effect — works on press
2072201164,Feed,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
2122998237,Fishing,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1968364229,Frenzy,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1293609465,Frost Barrier,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1198075389,Frost Barrier,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
78384915,Frost Bat,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1119012588,Frost Cone,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1360906203,Gallop,(no source unit),-,Movement,,Mobility / travel — no target needed
1529659981,Gargoyle Wing Shield Emerge Spawn,(no source unit),-,SelfCast,,Self/ally effect — works on press
-149514613,Gelenkter Pfeil,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1977998485,General Healing Orb,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1589627808,Giant Crow Corrupted Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1884419467,Giant Crow Corrupted Peck,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
288608511,Gloomrot Pyro Flame Strafer,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-645101263,Gold Golem Enrage Fist Slam,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1770841962,Gold Golem Melee Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
92820140,Gold Golem Rock Slam,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1181502209,Great Cleaver,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
830123499,Harpoon,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-325952371,Harpy AoE,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1850037222,Harpy Dash,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1629100793,Harpy Dive,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1432604486,Heart Strike,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-948311829,Hold to Extract Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1491658671,Hold to Extract Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1695763915,Hold to Extract Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-842785205,Horse Vampire Leap Travel Blackfang,(no source unit),-,Movement,,Mobility / travel — no target needed
1461754263,Howling Reaper,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
91249849,Ice Nova,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1473095785,Ice Nova,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-286223348,Illusion Serpent,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1250277114,Impale,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-247423777,Iva Burn,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1175617299,Knight 2 H Back Roll,(no source unit),-,Movement,,Mobility / travel — no target needed
349423116,Knight 2 H Forward Roll,(no source unit),-,Movement,,Mobility / travel — no target needed
-1449279362,Knight 2 H Forward Roll Accurate,(no source unit),-,Movement,,Mobility / travel — no target needed
1675917968,Leap,(no source unit),-,Movement,,Mobility / travel — no target needed
-914344112,Lightning Typhoon,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1617880256,Lucie Alchemic Madness Channel,(no source unit),-,SelfCast,Channel,Self/ally effect — works on press
550876706,Lucie Alchemic Madness Walk To Pos,(no source unit),-,SelfCast,,Self/ally effect — works on press
1310557060,Lucie Clarity Potion,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1501543883,Lucie Crippling Goo,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
973975627,Lucie Deadly Injection,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
466462408,Lucie Healing Brew,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
846507754,Lucie Liquid Fire,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
2041625587,Lucie Panic Shot,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
385165207,Lucie Pick Up Potion Walk To Potion,(no source unit),-,SelfCast,,Self/ally effect — works on press
-933544131,Lucie Player Ability Clarity Potion Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-984481115,Lucie Player Ability Liquid Fire Potion Drink,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1738354598,Lucie Player Ability Liquid Fire Potion Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
362512593,Lucie Player Ability Liquid Luck Potion Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
211300082,Lucie Player Ability Polymorph Potion Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1364843731,Lucie Player Ability Potion Base Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1111373807,Lucie Player Ability Wondrous Healing Potion Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1358113706,Lucie Roll,(no source unit),-,Movement,,Mobility / travel — no target needed
2053056011,Lucie Toxin Bolt,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-2029137394,Lucie Wake Golem Potion,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
998806487,Man Trap Corrupted Melee Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
544237275,Man Trap Corrupted Projectile,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
1033948100,Man Trap Corrupted Tripple Projectile,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
1690919489,Manticore Jump Back,(no source unit),-,Movement,,Mobility / travel — no target needed
1026449575,Mantrap Corrupted Spawn Saplings,(no source unit),-,Summon,,Summons units/allies — no aim needed
-267258900,Mantrap Sapling Corrupted Melee Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-581209791,Mantrap Sapling Corrupted Projectile,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
245173408,Merciless Charge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-409778117,Militia Fabian Call Lightning,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1631838527,Militia Fabian Lightning Orb,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
-1379598377,Militia Fabian Mounted Swing Left,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-618550771,Militia Fabian Mounted Swing Right,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1246326726,Militia Fabians Steed Charge,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
1220301459,Militia Fabians Steed Leap,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
975866147,Militia Fabians Steed Leap Movement,(no source unit),-,Movement,,Mobility / travel — no target needed
325658714,Militia Fabians Steed Multi Charge,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
890007919,Militia Glassblower Mirror Shield,(no source unit),-,SelfCast,,Self/ally effect — works on press
-1077139800,Militia Horseman,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-1843850355,Militia Horseman Attack Chain,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1660777757,Militia Horseman Attack Chain Left,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
262116525,Militia Horseman Attack Chain Right,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1630648333,Militia Horseman Mount Charge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-342380924,Militia Horseman Step Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-1280459867,Militia Hound Hound Mark,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1689067072,Militia Light Arrow Basic Shot,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
761268127,Militia Light Arrow Snipe,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
-866526980,Militia Light Arrow Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-708850140,Militia Light Arrow Unsteady Quick Shot,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
617823552,Militia Light Arrow Unsteady Shot,(no source unit),-,Aimed,Channel,Aim at a target or direction — fires downrange
-891060764,Militia Light Arrow Unsteady Throw,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1418783710,Militia Rider Crossbow,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
110097606,Mist Trance,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
268059675,Mosquito,(no source unit),-,Summon,,Summons units/allies — no aim needed
-822790233,Mutant Rat Scratch Mutant Blood,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-2053450457,Phantom Aegis,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1852992863,Phantom Aegis,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-987810170,Polarity Shift,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1576686583,Power Surge,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1365760673,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1484849310,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1112631726,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
88026855,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-947518364,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
1721154667,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-317399619,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1108325193,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-56422536,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-350642638,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-321918794,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1989618782,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1077498120,Primary Attack,(no source unit),-,SelfCast,,Self/ally effect — works on press
257418700,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1145923288,Primary Attack,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
1913579080,Primary Attack,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
-413053555,Primary Attack,(no source unit),-,Aimed,Combo,Aim at a target or direction — fires downrange
992487676,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
452849117,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1262842180,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-366103191,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-843384411,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1294567037,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1108274345,Primary Attack,(no source unit),-,CloseRange,Channel,Needs enemies next to / in front of you
-660542965,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1435233272,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1691491221,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1439531953,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
1070827786,Primary Attack,(no source unit),-,Summon,,Summons units/allies — no aim needed
-187744612,Primary Attack,(no source unit),-,Aimed,,Aim at a target or direction — fires downrange
174655882,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
-1428882023,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-8479990,Primary Attack,(no source unit),-,Summon,Channel,Summons units/allies — no aim needed
815729526,Primary Attack,(no source unit),-,Summon,Channel,Summons units/allies — no aim needed
-1874296899,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
784360484,Primary Attack,(no source unit),-,CloseRange,Combo,Needs enemies next to / in front of you
-1360812741,Primary Attack,(no source unit),-,CloseRange,,Needs enemies next to / in front of you
