Ability,ID,UnitName,Description,Type,School,Categories,Mechanic,Condition,SpellTier,SourceTier,SourceLevel,IsVBlood,BaseCooldown,BaseCastTime,Magic,Unarmed,Sword,GreatSword,Axe,Mace,DualHammers,Spear,Daggers,Crossbow,Longbow,Pistols,Reaper,Whip,Claws,Pollaxe,Slashers,TwinBlades,Wolf,Bear,Rat,Spider,Toad,Werewolf,Gargoyle,Mounted,Enabled,Cooldown,Range,Charges,ChargeTime,AoE,ProjSpeed,LeapHeight,Duration,Healing,DamageScale,CooldownScale,ForceTimeout,PowerWindow,SummonCap,SummonTimeout,SummonUnits,CastSpeed,FreelyMove,InterruptOnHit,TransformOnly,Crash/Issue,Notes
Bear Shapeshift Area Attack,-2138455533,,Stomp the ground to deal damage to target in front of you. Can be used to destroy massive resource objects such as massive rocks. Attack level affected by equipped weapon,,,Other,,CloseRange,,,,,8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear Wake Up,-388636006,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
Beckon,-658066984,,Make a gesture to indicate for someone to approach.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Bind Coffin,1372470796,,,,,Other,,,,,,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bind Coffin,-1020324236,,,,,Other,,,,,,,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Blood Rite,1191439206,,,Defensive,Blood,Blood; Defensive,Heal; Projectile,SelfCast,Tier1,,,,10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Buff Corrupted Angel Dash,-1869894099,,,Movement,Blood,Movement,Movement,Aimed,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Buff Corrupted Harpy Dash,-2064327511,,,Movement,Blood,Movement,Movement,Aimed,,,,,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Carrion Swarm,-1380116221,,Summon {count} blood bats in a line that attacks towards your target location. Each bat pierces enemies dealing {damage} magic damage and inflicting Leech.,SpellSlot1,Blood,Projectile,Projectile,Aimed,Tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Fountain,-1401133170,,Summon a pillar of blood healing allies for {healing} of your spell power. The pillar erupts after {delay}s inflicting Leech and dealing {damage} magic damage to enemies while healing allies for {healing2} of your spell power.,AoE,Blood,Other,AoE; Heal,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Fountain,2067760264,,Summon a pillar of blood healing allies for {healing} of your spell power. The pillar erupts after {delay}s inflicting Leech and dealing {damage} magic damage to enemies while healing allies for {healing2} of your spell power.,Offensive,Blood,Blood; Offensive,AoE; Heal,CloseRange,Tier2,,,,10,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Hunger,-1863241708,,Allows you to instantly recognise blood type and blood quality of nearby units.,,Shapeshift,Shapeshift,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Mend,-1996241419,,Consume {blood} liters of blood per second to recover {healing} of your maximum health.,Heal,Shapeshift,Shapeshift,Heal,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Rage,651613264,,Heal nearby allies for {healing} of your spell power and apply a fading haste that increases movement speed by {hastefactor} and attack speed by {attackspeed} for {duration}s. Inflicts Leech on nearby enemies.,Defensive,Blood,Blood; Defensive,Heal,CloseRange,Tier1,,,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Storm,-1284243288,,"Become invulnerable and channel a blood storm, launching up to {count} homing blood bolts towards nearby enemies over {duration}s. Each bolt deals {damage} magic damage and inflicts Leech. End the storm by unleashing a powerful nova of blood dealing {novadamage} magic damage and pushing nearby enemies away,",Ultimate,Blood,Other,,CloseRange,,,,,120,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Vampiric Curse,-326374250,,,Offensive,Blood,Blood; Offensive,Projectile,Aimed,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,-523365900,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,2063732211,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,1277638345,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,1866448125,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberry,-827928543,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bone Explosion,481411985,,Raise a bone pile from below that explodes at the target location dealing {damage} magic damage in an area and inflicts Condemn.,Offensive,Unholy,Unholy; Offensive,AoE; Heal; Projectile,Summon,Tier1,,,,9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bow,-1462274656,,Perform a gracious bow.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Build Menu,-996493500,,Toggle the Build menu,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrow,1224470698,,Burrow into the ground and move unseen for a short duration before emerging.,Movement,,Other,Movement,SelfCast,,,,,10,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burrow,1089139335,,"Burrow into the ground, avoiding the sun and hiding from enemies. Taking damage breaks the effect.",,,Other,,,,,,,8,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camouflage,-13231823,,"Enter a state of invisibility, increasing movement speed by {movespeed} for {lifetimeduration}s. Your next primary attack deals {damage} physical damage and incapacitates the enemy for {stunduration}s. Using any skill breaks camouflage.",Melee,,Other,Melee,CloseRange,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camouflage,1438305657,,"Enter a state of invisibility, increasing movement speed by {movespeed} for {lifetimeduration}s. Your next primary attack deals {damage} physical damage and incapacitates the enemy for {stunduration}s. Using any skill breaks camouflage.",Secondary,,Other,Melee,,,,,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancel Raging Tempest,2037106453,,End Raging Tempest early.,Movement,Storm,Other,Movement,Movement,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver Boss Whirlwind,-1109386231,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,SelfCast,,,,,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carver Boss Whirlwind Init,2103931135,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Man Spin Shield,112329675,,,Melee,,Melee,Melee,,,,,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castle Relocation,910704281,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Barrage,1174831223,,"Launch 4 Chaos projectiles that deal {damage} magic damage on direct hit, {damage2} magic damage to enemies in an area and inflicts Ignite.",Ultimate,Chaos,Chaos; Ultimate,Projectile,,Tier3,,,,120,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Barrier,2070140125,,Block melee and projectile attacks in front of you for s. Blocking an attack charges the barrier up to 5 times. Unleash a chaos bolt dealing %50 magic damage and inflicting Ignite when the effect ends. The projectile deals %40 additional damage per charge. Recast during the effect to launch the projectile early.,Projectile,Chaos,Other,Projectile,Aimed,,,,,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Barrier,-1016145613,,Block melee and projectile attacks in front of you for s. Blocking an attack charges the barrier up to 5 times. Unleash a chaos bolt dealing %50 magic damage and inflicting Ignite when the effect ends. The projectile deals %40 additional damage per charge. Recast during the effect to launch the projectile early.,Defensive,Chaos,Chaos; Defensive,Projectile,SelfCast,Tier2,,,,11,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Rain Of Chaos,2012523607,,Shower an area with {count} chaos meteors over {duration}s dealing up to {damage} magic damage and inflicting Ignite.,SpellSlot1,Chaos,AoE,AoE,CloseRange,Tier2,,,,12,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaos Volley,1019568127,,,Offensive,Chaos,Chaos; Offensive,Projectile,,Tier1,,,,8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAR Bandit Stalker VBlood,1106149033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: NOT-USABLE
CHAR Undead Zealous Cultist VBlood,-1208888966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tester v0.100: REVIEW
Charge Batteries,-1339620791,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charm,-107743040,,,Projectile,,Other,Projectile,Aimed,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clap,-26826346,,Applaud someone’s accomplishments.,,,Other,,,,,,,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: emote — evaluate in-game for player usability (players want more emotes); keep if functional
Cold Snap,-1000260252,,Block melee and projectile attacks for {duration}s. Blocking an attack triggers an ice nova that deals {damage} magic damage and inflicts a {freezeduration}s Freeze. Gain a shield absorbing up to {shieldvalue} of your spell power for {shieldduration}s when this effect triggers.,Defensive,Frost,Frost; Defensive,,SelfCast,Tier1,,,,10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comerciar,2141326610,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumable Prison Blood Potion,974235336,,A potion filled with blood.,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Crow Fly End,-1095356108,,,AoE,,AoE; Movement,AoE; Movement,CloseRange,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Crow Fly Start,61265236,,,Movement,,Movement,Movement,CloseRange,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Crow Fly Start,-1698500590,,,,,,,CloseRange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Crow Idle Fly Start,304685414,,,Movement,,Movement,Movement,CloseRange,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Crow Strafe Bomb,-195896692,,,Movement,,Movement,Movement,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Skull,-1204819086,,"Launch a projectile that deals {damage} magic damage, summons a skeleton and inflicts Condemn. The attack deals {bonusdamage} bonus damage to enemies below 30% health.",Offensive,Unholy,Unholy; Offensive,Projectile,Summon,Tier1,,,,8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Wind Gust,1918468442,,,,,,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Wolf Corruption Charged,1369843173,,,,,,,,,,,,0.5,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corrupted Wolf Slavering Bite,-1720952746,,Perform a combo of melee attacks dealing {damage1}/{damage2}/{damage3} physical damage.,Melee,,Melee,Melee,CloseRange,,,,,3,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crimson Beam,375131842,,Channel a beam of energy that deals {damage} magic damage and inflicts Leech to enemies hit while healing allies for {healing} of your spell power per second for up to {duration}s. Each target hit heals self for {selfhealing} of your spell power.,Ultimate,Blood,Blood; Ultimate,,,Tier3,,,,120,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crushing Blow,1262003451,,Vault towards the cursor and slam your mace into the ground dealing {damage} physical damage and inflicting a {duration}s fading snare.,Secondary,,Other,,CloseRange,,,,,8,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Lance,295045820,,Launch a projectile dealing {damage} magic damage and inflicting Freeze lasting {duration}s.,Offensive,Frost,Frost; Offensive,Projectile,Aimed,Tier2,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cursed Wanderer On Aggro,-852195329,,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customise,-1711588061,,,,,Other,,,,,,,0.1,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyclone,-356990326,,"Conjure a cyclone that pierces enemies dealing {damage} magic damage and inflicting Static. The cyclone returns after reaching max distance, granting Storm Shield. Storm Shields circle around you, dealing {orbitdamage} magic damage and inflicting Static. Effect stacks up to {count} times.",Offensive,Storm,Storm; Offensive,,CloseRange,Tier1,,,,8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death from Above,-2095151729,,Leap into the air and descend upon your enemy dealing {damage} physical damage in an area.,Secondary,,Other,Movement,Movement,,,,,10,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Knight,1961570821,,Summon a Death Knight at target location that attacks nearby enemies. Each swing deals {damage} magic damage in an area and inflicts Condemn. The Death Knight lasts for {duration}s.,Offensive,Unholy,Unholy; Offensive,AoE; Summon,Summon,Tier2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debug Nuke All,-1563062700,,"Destroys all objects, units and items in a large area.",AoE,,AoE,AoE,CloseRange,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Degallop,162388614,,,,,,,Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devoted Block,1214148146,,,,,,,,,,,,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1 audit: reaction (counter/knockdown) — may be a real CC; evaluate in-game
Diluted Blood Potion,1250098443,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,2142882097,,,Heal,,Other,Heal,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,1875280201,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,-618850823,,,Heal,,Other,Heal,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,-603849198,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,1743540461,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,-2008977590,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,452822121,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,1293091219,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,1639330095,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,2030125327,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,-1506728203,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,1195333673,,,,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Blood Potion,211394464,,"Can be consumed to gain a small amount of blood, alters your blood type to frailed.",,,Other,,,,,,,0.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discharge,1952703098,,"Block melee and projectile attacks for up to {duration}s. Blocking an attack pulls the target toward you and grants one Storm Shield. Enemies triggering Discharge in close vicinity are stunned for {stunduration}s. Storm Shields circle around you, dealing {orbitdamage} magic damage and inflicting Static. Effect stacks up to {count} times.",Defensive,Storm,Storm; Defensive,,CloseRange,Tier1,,,,10,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
